Categorie,Tag,Question,Réponse
Droit du travail,contrat_stage,Quel est l'objectif principal du contrat de stage ?,L'objectif du contrat de stage est de favoriser la promotion de l'emploi et de la formation professionnelle.
Droit du travail,contrat_stage,Qu'est-ce qu'un contrat de stage selon la loi ?,Un contrat de stage est une convention par laquelle un maître de stage s'engage à donner une formation professionnelle pratique à un stagiaire.
Droit du travail,contrat_stage,Quel type d'expérience le contrat de stage vise-t-il à donner au stagiaire ?,Le contrat de stage vise à faire acquérir au stagiaire une expérience et des aptitudes professionnelles pour faciliter son accès à l'emploi et son insertion dans la vie professionnelle.
Droit du travail,contrat_stage,Quand doit être conclu le contrat de stage ?,Le contrat de stage doit être conclu impérativement avant l'entrée du stagiaire dans l'entreprise.
Droit du travail,contrat_stage,Quel est le format requis pour le contrat de stage ?,"Le contrat de stage doit être constaté par écrit dans la langue officielle, sous peine de nullité."
Droit du travail,contrat_stage,Le contrat de stage est-il soumis à des droits de timbre ou d’enregistrement ?,"Non, le contrat de stage est exempt de tous droits de timbre et d’enregistrement."
Droit du travail,contrat_stage,Qui règle les autres conditions de forme et de fond du contrat de stage ?,"Les autres conditions de forme et de fond, les obligations des parties et les effets du contrat de stage sont réglés par voie réglementaire par le ministre chargé du travail après avis de la commission consultative du travail."
Droit du travail,contrat_stage,Quelles sont les obligations des parties dans le cadre du contrat de stage ?,"Les obligations des parties sont fixées par voie réglementaire, après avis de la commission consultative du travail."
Droit du travail,contrat_apprentissage,Qu'est-ce qu'un contrat d'apprentissage selon la loi ?,Le contrat d'apprentissage est le contrat par lequel un maître s’oblige à donner une formation professionnelle méthodique et complète à un apprenti.
Droit du travail,contrat_apprentissage,Quelles sont les obligations de l'apprenti dans le contrat d'apprentissage ?,L'apprenti doit se conformer aux instructions qu'il reçoit et exécuter les ouvrages qui lui sont confiés dans le cadre de son apprentissage.
Droit du travail,contrat_apprentissage,Quel est le format requis pour le contrat d'apprentissage ?,"Le contrat d'apprentissage doit être constaté par écrit, rédigé en langue officielle et, si possible, dans la langue de l’apprenti."
Droit du travail,contrat_apprentissage,Le contrat d'apprentissage est-il soumis à des droits de timbre ou d’enregistrement ?,"Non, le contrat d'apprentissage est exempt de tous droits de timbre et d’enregistrement."
