Type,Titre,Description,Pièces à fournir,Coût,Conditions d'accès,Source
juridique,Comment porter plainte en justice ?,"La plainte est l’acte par lequel une personne victime d’une infraction informe la justice. Elle peut être déposée contre une personne identifiée ou contre X si l’auteur est inconnu. Le dépôt de plainte est gratuit et peut être fait auprès d'un commissariat, d'une brigade de gendarmerie ou directement auprès du procureur du Faso.",Aucune pièce n'est nécessaire pour le dépôt d'une plainte simple.,Le dépôt d’une plainte simple est gratuit.,"Toute personne s’estimant victime d’une infraction peut porter plainte., La plainte peut également être déposée contre une personne morale.",http://www.justice.gov.bf/index.php/2023/11/02/comment-porter-plainte-en-justice-2/
juridique,DEMANDE D'UNE PIÈCE DE JUSTICE,"La demande d'une pièce de justice est un acte qui traduit la décision d'un tribunal sur un jugement. Pour obtenir cette pièce, il est nécessaire de se rendre au tribunal dans lequel le jugement a été rendu.",Aucune pièce n'est à fournir pour cette procédure.,500 F CFA par feuille + un timbre de 200 F CFA.,Se rendre au tribunal où le jugement a été rendu.,https://www.servicepublic.gov.bf/fiches/promotion-de-la-justice-demande-dune-decision-de-justice
juridique,DEMANDE DE MODIFICATION DE NOM OU PRÉNOM OU DEMANDE D'AJOUT DE NOM OU PRÉNOM,"Cette procédure autorise un individu à modifier son nom ou son prénom dans le registre d'état civil. Pour procéder, il est nécessaire d'avoir une ou des erreurs sur son nom ou prénom.",Aucune pièce n'est à fournir pour cette procédure.,1 000 F CFA pour les corrections administratives ; 500 F CFA par feuille + un timbre de 200 F CFA pour les corrections matérielles.,Avoir une ou des erreurs sur son nom ou prénom.,https://www.servicepublic.gov.bf/fiches/promotion-des-droits-humains-demande-de-modification-de-nom-ou-prenom-ou-demande-dajout-de-nom-ou-prenom
juridique,DEMANDE DE LA SUCCESSION PAR TESTAMENT,"Le testament est un acte personnel par lequel le testateur transfère gratuitement tout ou une partie de ses biens à des bénéficiaires de son choix. Le transfert est appelé legs, et le bénéficiaire est le légataire.",Aucune pièce spécifique n'est requise pour établir un testament.,"Aucun coût direct pour le testament, mais des frais peuvent être appliqués lors de sa gestion par un notaire.","Avoir au moins 20 ans et jouir de ses facultés mentales., Décider librement, sans être forcé par menace ou violence.",http://www.justice.gov.bf/index.php/2019/07/12/la-succession-par-testament/
juridique,LA SUCCESSION SELON LA LOI,"La succession est la manière de transmettre les biens (par exemple : une maison), les droits (par exemple : une créance) et les dettes d’une personne décédée à ses héritiers. Elle intervient en cas de décès ou de déclaration de mort par le tribunal de grande instance.","Certificat de décès, Certificat d'hérédité délivré par le tribunal","Aucun coût direct pour la succession, mais des frais peuvent être appliqués pour les procédures judiciaires.","Être vivant au moment de la mort du défunt., Ne pas avoir commis de fautes graves envers le défunt.",http://www.justice.gov.bf/index.php/2019/07/05/la-succession-selon-la-loi/
juridique,RENDRE VISITE A UN DÉTENU,"Les détenus dans les établissements pénitentiaires peuvent recevoir la visite de leurs familles, amis et connaissances. Selon l’article 208 de la loi n°010-2017 AN du 10 avril 2017, les détenus ont le droit de recevoir des visites, bien que ce droit puisse être restreint pour des raisons judiciaires ou de sécurité.","Permis de visite (permanent, ponctuel ou exceptionnel).","Aucun coût direct pour la visite, mais des frais peuvent s'appliquer pour l'obtention du permis.","Obtenir un permis de visite au Palais de justice ou auprès de l'Administration pénitentiaire., Respecter les horaires établis par chaque établissement.",http://www.justice.gov.bf/index.php/2020/01/24/comment-rendre-visite-a-un-detenu/
administrative,OBTENTION DE VISA BURKINABÉ,Le visa est une autorisation expresse accordée par un consulat à l’extérieur du Burkina à une personne étrangère pour lui permettre d’entrer au Burkina afin d’y séjourner légalement. Il peut être de court ou long séjour.,"Un passeport en cours de validité., Deux photos d’identité., Une demande de visa remplie et signée., Vingt mille (20 000) FCFA pour le visa de long séjour.",47 000 FCFA pour les visas de court séjour et 120 000 FCFA pour les visas de long séjour. Le visa de courtoisie est gratuit.,"Demande soumise à l’administration centrale en charge de l’immigration ou à l'ambassade., Pour les visas de court séjour, une extension peut être demandée à la Division de la Migration.",https://www.police.gov.bf/index.php/infos-utiles/our-services
administrative,ARMES CIVILES,"Nul ne peut acheter une arme à feu ou bénéficier par échange, don, héritage, ou legs, s’il n’est titulaire d’une licence appelée « Autorisation d’achat d’arme à feu ». Cette autorisation est personnelle et signée par le Ministre chargé de la sécurité.","Une demande sur un formulaire revêtu d’un timbre fiscal de 15 000 FCFA pour les armes d’épaule, 25 000 FCFA pour les armes de poing de calibre ≤ 7,65 mm, 50 000 FCFA pour les armes de poing de calibre > 7,65 mm., Une (01) photocopie légalisée de la carte d’identité ou du passeport en cours de validité., Un (01) extrait d’acte de naissance ou jugement supplétif., Un (01) certificat de résidence., Un (01) extrait de casier judiciaire de moins de trois (03) mois., Deux (02) photos d’identité.","Variable selon le type d'arme, avec timbre fiscal allant de 15 000 à 50 000 FCFA.","Résultat positif de l’enquête de moralité menée par les services de police., Mention de tout permis de détention et de port d’arme en cas de possession antérieure.",https://www.police.gov.bf/index.php/infos-utiles/armes-civiles
administrative,PASSPORT ORDINAIRE,"Le passeport ordinaire est délivré par la Direction Générale de la Police Nationale à travers la Division de la Migration à Gounghin. Pour l'obtenir, il faut constituer un dossier composé des pièces suivantes à déposer à la Division de la Migration du lundi au vendredi.","Pour les majeurs :, Une copie légalisée de l'acte de naissance., Une copie légalisée du certificat de nationalité burkinabè., Une copie légalisée de la CNIB., Un casier judiciaire en cours de validité., Un timbre de 200 FCFA., Trois (03) photos d'identité au format passeport., Un document justifiant votre profession., La somme de cinquante mille (50 000 FCFA) pour les frais d'établissement., Pour les femmes mariées souhaitant porter le nom de leur conjoint : une copie légalisée de l'acte de mariage., Pour les mineurs :, L’acte de naissance de l’enfant., Le certificat de nationalité de l’enfant., Une autorisation parentale., Document d’identité des deux parents (si le mineur réside au Burkina Faso), ou titre de séjour des deux parents (dans ce cas, l’autorisation parentale n’est pas nécessaire)., Un timbre fiscal de 200 FCFA plus la somme de 50 000 FCFA., Trois (03) photos au format passeport., Pour les militaires et paramilitaires : un certificat de présence au corps précisant l’établissement d’un passeport.",50 000 FCFA + timbre de 200 FCFA.,Dépôt du dossier à la Division de la Migration.,https://www.police.gov.bf/index.php/infos-utiles/passeport
administrative,CARTE NATIONALE D'IDENTITÉ BURKINABÉ,"La Carte Nationale d'Identité Burkinabè (CNIB) est un document officiel permettant de justifier son identité et sa nationalité burkinabè. Obligatoire à partir de 15 ans, elle a une durée de validité de 10 ans. La CNIB est une carte biométrique sécurisée, intégrant des contrôles de données pour éviter la fraude.","Pour les Burkinabè nés au Burkina Faso : une copie de l'acte de naissance., Pour les Burkinabè nés à l'extérieur : une copie du certificat de nationalité et un formulaire de demande de carte nationale d'identité (remis sur place)., Pour les femmes souhaitant porter le nom de leur époux : une copie de l'acte de mariage., Pour faire figurer la profession de commerçant : une copie du registre du commerce.",Variable selon les localités.,Se rendre en personne dans un Centre de Collecte des Données (CCD) avec les pièces justificatives.,https://www.police.gov.bf/index.php/infos-utiles/cnib
